S. No.,Time (s),Na0.0,Na0.1,Na0.2,Na0.3,K0.1,Li0.2
0,0,13.98,18.02,19.8,16.8,5.5,10.8
1,30,13.87,17.74,19.1,16.5,5.4,10.7
2,60,13.82,17.48,18.8,16.1,5.4,10.7
3,90,13.81,17.2,18.5,15.9,5.4,10.7
4,120,13.8,16.85,18.2,15.7,5.4,10.7
5,150,13.72,16.54,17.9,15.6,5.4,10.7
6,180,13.66,16.25,17.6,15.4,5.4,10.6
7,210,13.61,15.9,17.4,15.3,5.4,10.6
8,240,13.56,15.52,17.1,15.1,5.4,10.6
9,270,13.51,15.28,16.8,14.9,5.4,10.6
10,300,13.33,15.06,16.4,14.8,5.3,10.5
11,330,13.29,14.81,15.9,14.6,5.4,10.5
12,360,13.25,14.47,15.6,14.3,5.4,10.6
13,390,13.13,14.13,15.3,14.1,5.3,10.5
14,420,13.0,13.76,15.0,14.0,5.3,10.5
15,450,12.92,13.41,14.7,13.8,5.3,10.5
16,480,12.83,13.02,14.3,13.6,5.3,10.5
17,510,12.71,12.72,14.7,13.4,5.3,10.3
18,540,12.64,12.42,13.8,13.2,5.2,10.2
19,570,12.53,12.14,13.6,13.1,5.2,10.1
20,600,12.42,11.9,13.3,13.0,5.2,10.1
21,630,12.33,11.63,13.1,12.8,5.3,10.0
22,660,12.24,11.36,12.8,12.5,5.2,9.9
23,690,12.15,11.12,12.6,12.3,5.2,9.8
24,720,12.06,10.85,12.4,12.1,5.1,9.7
25,750,11.97,10.57,12.2,11.9,5.1,9.6
26,780,11.86,10.32,12.0,11.7,5.1,9.5
27,810,11.75,10.07,11.8,11.4,5.1,9.4
28,840,11.66,9.82,11.6,11.2,5.1,9.3
29,870,11.57,9.63,11.4,11.0,5.0,9.3
30,900,11.48,9.48,11.2,10.9,4.9,9.3
31,930,11.38,9.32,11.1,10.8,4.9,9.2
32,960,11.29,9.04,11.0,10.7,5.0,9.2
33,990,11.2,8.92,10.9,10.6,4.9,9.1
34,1020,11.11,8.76,10.7,10.6,4.9,9.1
35,1050,11.02,8.56,10.5,10.6,4.9,9.1
36,1080,10.93,8.39,10.4,10.5,4.8,8.9
37,1110,10.84,8.25,10.3,10.5,4.8,8.9
38,1140,10.75,8.11,10.2,10.4,4.8,9.0
39,1170,10.66,8.05,10.1,10.4,4.8,8.8
40,1200,10.57,8.0,10.0,10.4,4.7,8.7
41,1230,10.48,7.96,10.0,10.3,4.7,8.7
42,1260,10.39,7.92,9.9,10.3,4.7,8.6
43,1290,10.3,7.89,9.8,10.2,4.6,8.5
44,1320,10.21,7.86,9.7,10.2,4.6,8.5
45,1350,10.12,7.83,9.6,10.1,4.6,8.3
46,1380,10.03,7.8,9.6,10.0,4.6,8.3
47,1410,9.94,7.77,9.5,9.8,4.6,8.3
48,1440,9.85,7.74,9.4,9.6,4.5,8.3
49,1470,9.76,7.71,9.3,9.4,4.5,8.2
50,1500,9.67,7.68,9.3,9.2,4.5,8.1
51,1530,9.58,7.63,9.2,9.2,4.4,8.2
52,1560,9.47,7.6,9.2,9.2,4.4,8.1
53,1590,9.36,7.56,9.1,9.1,4.3,8.1
54,1620,9.27,7.53,9.0,9.0,4.3,8.1
55,1650,9.15,7.5,9.0,8.9,4.3,8.0
56,1680,9.04,7.46,8.9,8.8,4.2,8.0
57,1710,8.95,7.42,8.8,8.8,4.2,8.0
58,1740,8.82,7.38,8.7,8.8,4.2,8.0
59,1770,8.71,7.35,8.7,8.7,4.2,8.0
60,1800,8.6,7.32,8.7,8.7,4.1,7.9
61,1830,8.48,7.29,8.6,8.7,4.1,7.9
62,1860,8.35,7.25,8.5,8.7,4.0,7.9
63,1890,8.24,7.21,8.4,8.7,4.1,7.9
64,1920,8.13,7.17,8.4,8.6,4.0,8.0
65,1950,8.02,7.13,8.4,8.6,3.9,8.1
66,1980,7.91,7.09,8.3,8.6,3.9,8.2
67,2010,7.8,7.06,8.3,8.6,3.9,8.2
68,2040,7.67,7.02,8.3,8.6,3.8,8.1
69,2070,7.52,6.98,8.3,8.5,3.8,8.0
70,2100,7.43,6.94,8.2,8.5,3.8,8.1
71,2130,7.32,6.9,8.2,8.5,3.7,8.0
72,2160,7.21,6.86,8.2,8.5,3.8,7.9
73,2190,7.1,6.82,8.1,8.4,3.7,7.9
74,2220,7.01,6.78,8.1,8.4,3.7,7.9
75,2250,6.91,6.72,8.0,8.4,3.5,7.9
76,2280,6.8,6.66,8.0,8.4,3.6,8.0
77,2310,6.69,6.6,7.9,8.3,3.5,8.0
78,2340,6.58,6.54,7.9,8.3,3.5,7.9
79,2370,6.47,6.48,7.9,8.3,3.5,7.9
